tower_id,difficulty,is_auxiliar
q132222222,15,false
r231222222,14,false
q133030321,0,true
k011303231,0,true
k023022013,0,true
q133222222,16,false
q131222222,14,false
k012222222,8,false
k011222222,9,false
i313222222,15,false
k023222222,11,false
i331121021,0,true
i331222222,12,false
i322222222,14,false
k010222222,9,false
k010022032,0,true
q200222222,17,false
q201222222,20,false
j110222222,13,false
j112222222,14,false
i320222222,13,false
i323222222,16,false
i200222222,19,false
i312131211,0,true
k001222222,12,false
j111222222,15,false
j112122212,0,true
j113222222,15,false
i310222222,16,false
i301222222,17,false
i210222222,19,false
i202222222,20,false
j122222222,14,false
j123222222,12,false
k001111023,0,true
i212222222,20,false
j111333113,0,true
i212030310,0,true
c331330112,0,true
i210101301,0,true
i212101211,0,true
c331222222,17,false
c320131211,0,true
c330222222,20,false
i211313011,0,true
i033222222,23,false
i302222222,20,false
j033222222,23,false
i212010200,0,true
c332222222,18,false
d110222222,21,false
c303222222,22,false
d100222222,25,false
i300222222,22,false
i213222222,22,false
i031101213,0,true
d100303003,0,true
c320222222,18,false
i031222222,23,false
i031010203,0,true
i022222222,25,false
i023131212,0,true
c330012200,0,true
i001222222,28,false
i023222222,27,false
i001023303,0,true
h112222222,30,false
h110222222,29,false
d011222222,28,false
d013222222,30,false
i031022133,0,true
j300222222,24,false
c322222222,19,false
c301222222,22,false
i002222222,28,false
c323222222,21,false
d231222222,29,false
c300313203,0,true
i001121210,0,true
d230222222,32,false
i010313103,0,true
c310222222,21,false
i032222222,24,false
i030222222,25,false
h112303002,0,true
i020222222,24,false
i013222222,25,false
d102222222,25,false
c302222222,24,false
h123222222,30,false
i000222222,29,false
j300313203,0,true
h111303003,0,true
b333222222,33,false
b332222222,34,false
h111323103,0,true
j300010103,0,true
i020030201,0,true
b330222222,35,false
i030030012,0,true
b331222222,33,false
h113222222,32,false
h113302013,0,true
i012222222,27,false
i010222222,28,false
j303222222,26,false
j303313133,0,true
h131222222,35,false
b313222222,35,false
i231222222,24,false
i220222222,23,false
b312222222,37,false
i003222222,27,false
j211222222,24,false
j210222222,27,false
d233222222,27,false
h120010301,0,true
c310010101,0,true
i011222222,28,false
h101222222,29,false
h102222222,30,false
j321222222,28,false
j301222222,27,false
j212222222,29,false
b312030130,0,true
h122222222,33,false
h122303013,0,true
h120222222,34,false
h132222222,36,false
h133222222,39,false
b311222222,38,false
c223222222,24,false
c201222222,23,false
b320222222,35,false
h121010202,0,true
c210222222,24,false
g032222222,56,false
g213222222,56,false
g222222222,56,false
g223030200,0,true
g221313233,0,true
g210222222,56,false
g223222222,56,false
g201222222,56,false
g203222222,56,false
g202222222,56,false
g310030201,0,true
g201010310,0,true
g323222222,56,false
g323010130,0,true
g301222222,56,false
g311222222,56,false
p200222222,56,false
g220222222,56,false
g320222222,56,false
g320322233,0,true
g313222222,56,false
p131222222,56,false
g310322323,0,true
p120222222,56,false
g322322203,0,true
g321222222,56,false
g321010133,0,true
p131333133,0,true
g332222222,56,false
p111222222,56,false
g333222222,56,false
a000333002,0,true
e003333032,0,true
a003021101,0,true
a003222222,44,false
b001222222,44,false
e030023112,0,true
a011022031,0,true
a012030202,0,true
a011313131,0,true
a021010200,0,true
a023222222,45,false
a032222222,47,false
e300313130,0,true
b003131323,0,true
c000222222,47,false
b331102033,0,true
h113101011,0,true
b331121222,0,true
c300222222,25,false
c321222222,21,false
c310030202,0,true
d232222222,28,false
e110131311,0,true
e022303012,0,true
e031022103,0,true
e031030311,0,true
e103222222,28,false
e110012302,0,true
e111312320,0,true
e113222222,23,false
e113312031,0,true
n333111331,0,true
n331222222,22,false
n331101033,0,true
e130313203,0,true
e113303003,0,true
e200313100,0,true
e202222222,31,false
e210222222,35,false
e210313230,0,true
e210303011,0,true
e221222222,33,false
e301030210,0,true
e321222222,37,false
e321303011,0,true
e322222222,36,false
g201303231,0,true
g201313100,0,true
g312222222,56,false
g212222222,56,false
g202010222,0,true
g322131323,0,true
g310222222,56,false
g322222222,56,false
g330222222,56,false
g322303012,0,true
h110122131,0,true
h111222222,31,false
h121222222,33,false
h130222222,35,false
i003312100,0,true
j321101022,0,true
j330222222,28,false
i012010311,0,true
i012101212,0,true
i013022223,0,true
i013313131,0,true
i021101210,0,true
i021022213,0,true
i021222222,26,false
i032010312,0,true
i033030231,0,true
i211222222,21,false
i312222222,16,false
i210131211,0,true
i300032132,0,true
i212303020,0,true
i313313302,0,true
i310322322,0,true
q131122120,0,true
j000222222,6,false
k110131311,0,true
j101120332,0,true
j101222222,11,false
j302222222,25,false
j302010130,0,true
k010030210,0,true
k010303103,0,true
k012010201,0,true
k231101033,0,true
k213303231,0,true
k031022023,0,true
k031303213,0,true
k123222222,3,false
k103122212,0,true
k122122222,0,true
k120313233,0,true
k121222222,1,false
k203222222,3,false
k133030330,0,true
k310030203,0,true
k200222222,5,false
k202313121,0,true
k210303011,0,true
k222222222,5,false
k212101020,0,true
k301222222,9,false
k220222222,7,false
k302222222,11,false
k303101031,0,true
k302030202,0,true
k303222222,9,false
l030022021,0,true
k323222222,8,false
k331101001,0,true
k301322213,0,true
k301313102,0,true
k330321131,0,true
k332010122,0,true
k331132230,0,true
k333012200,0,true
k333222222,5,false
k333132010,0,true
l000312130,0,true
l000121210,0,true
l113222222,21,false
l110113002,0,true
m001222222,16,false
m002020200,0,true
m012222222,11,false
m022222222,15,false
m033222222,19,false
m101303013,0,true
m101313011,0,true
m113222222,1,false
m120010321,0,true
m200222222,7,false
s200010202,0,true
m133312011,0,true
m300222222,16,false
m211101302,0,true
m220222222,13,false
m300303310,0,true
m300030312,0,true
m301030210,0,true
m302313230,0,true
m302101030,0,true
n033222222,18,false
m313222222,11,false
m321303220,0,true
m330222222,20,false
n010132301,0,true
n030302221,0,true
n320030121,0,true
n332222222,21,false
m000300133,0,true
n332010122,0,true
m000333030,0,true
o101222222,13,false
o101030310,0,true
o131222222,3,false
o133030330,0,true
o203222222,7,false
o202222222,6,false
p133222222,56,false
r333033100,0,true
q112313031,0,true
q202222222,18,false
r011222222,12,false
r102222222,10,false
s300222222,9,false
r103122011,0,true
r123101033,0,true
r112303003,0,true
r123010200,0,true
s332131021,0,true
s330222222,4,false
r112222222,7,false
r111222222,6,false
r120101211,0,true
r122313102,0,true
r121313232,0,true
r310131201,0,true
r301322222,0,true
r302222222,11,false
r321222222,8,false
r310303231,0,true
r313222222,5,false
r330131302,0,true
r330222222,8,false
k131122110,0,true
s320010122,0,true
m131222222,2,false
s320303233,0,true
s322322220,0,true
s331121033,0,true
s332222222,3,false
t210030202,0,true
t223313130,0,true
t320222222,7,false
t301222222,4,false
t321313103,0,true
t323030200,0,true
t310010103,0,true
a013101031,0,true
b002022310,0,true
a031022011,0,true
e322010203,0,true
b001003123,0,true
c002222222,48,false
e203010311,0,true
m013030223,0,true
n330322333,0,true
n333122313,0,true
m303222222,16,false
m323222222,14,false
m303022311,0,true
l002101313,0,true
m131110331,0,true
s332322320,0,true
r113323002,0,true
r103222222,10,false
s333032102,0,true
k312131031,0,true
k323101020,0,true
r120122221,0,true
r120312101,0,true
k321322212,0,true
q110122120,0,true
k102222222,3,false
k022101210,0,true
j101101120,0,true
c333222222,18,false
h110131312,0,true
j033313203,0,true
b331132102,0,true
i003302223,0,true
h131110332,0,true
g221222222,56,false
g323030300,0,true
