damage_type,min_attack,max_attack,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,at11,at12,at13,at14,at15,at16,at17,at18,at19,at20
piercing,36,40,14|C,14|C,14|C,14|C,13|B,13|B,13|B,13|B,13|B,12|B,11|A,11|A,11|A,11|A,11|A,11|A,11|A,13|B,13|B,11|A
piercing,41,45,16|D,16|D,16|D,16|D,15|C,15|C,15|C,15|C,15|C,14|B,13|B,13|B,13|B,13|B,13|B,13|B,13|B,15|C,15|C,13|B
piercing,46,50,18|D,18|D,18|D,18|D,17|C,17|C,17|C,17|C,17|C,16|B,15|B,15|B,15|B,15|B,15|B,15|B,15|B,17|C,17|C,15|B
piercing,51,55,20|E,20|E,20|E,20|E,19|D,19|D,19|D,19|D,19|D,18|C,17|C,17|C,17|C,17|C,17|C,17|C,17|C,19|D,19|D,17|C
piercing,56,1000,22|E,22|E,22|E,22|E,21|D,21|D,21|D,21|D,21|D,20|C,19|C,19|C,19|C,19|C,19|C,19|C,19|C,21|D,21|D,19|C
fire,1,5,1|-,1|-,1|-,1|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,1|-,1|-,0|-
fire,6,10,3|-,3|-,2|-,2|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,3|-,2|-,1|-
fire,11,15,5|A,5|A,4|A,4|A,3|-,3|-,3|-,3|-,3|-,3|-,3|-,3|-,3|-,3|-,3|-,3|-,3|-,5|A,4|A,3|-
fire,16,20,8|A,8|A,7|A,7|A,6|A,6|A,5|A,5|A,5|A,5|A,5|A,5|A,5|A,5|A,5|A,5|A,5|A,8|A,7|A,6|A
fire,21,25,11|B,11|B,10|B,10|B,9|A,9|A,8|A,8|A,8|A,8|A,8|A,8|A,8|A,8|A,8|A,8|A,8|A,11|B,10|B,9|A
fire,26,30,14|B,14|B,13|B,13|B,12|B,12|B,11|A,11|A,11|A,11|A,11|A,11|A,11|A,11|A,11|A,11|A,11|A,14|B,13|B,12|B
fire,31,35,17|C,17|C,16|C,16|C,15|B,15|B,14|B,14|B,14|B,14|B,14|B,14|B,14|B,14|B,14|B,14|B,14|B,17|C,16|C,15|B
fire,36,1000,20|C,20|C,19|C,19|C,18|C,18|C,17|B,17|B,17|B,17|B,17|B,17|B,17|B,17|B,17|B,17|B,17|B,20|C,19|C,18|C
ice,1,5,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-
ice,6,10,2|-,2|-,2|-,2|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,2|-,2|-,1|-
ice,11,15,4|A,4|A,4|A,4|A,3|A,3|A,3|-,3|-,3|-,3|-,3|-,3|-,3|-,3|-,3|-,3|-,3|-,4|A,4|A,3|A
ice,16,20,6|A,6|A,6|A,6|A,5|A,5|A,5|A,5|A,5|A,5|A,5|A,5|A,5|A,5|A,5|A,5|A,5|A,6|A,6|A,5|A
ice,21,25,8|B,8|B,8|B,8|B,7|A,7|A,7|A,7|A,7|A,7|A,7|A,7|A,7|A,7|A,7|A,7|A,7|A,8|B,8|B,7|A
ice,26,1000,10|B,10|B,10|B,10|B,9|B,9|B,9|A,9|A,9|A,9|A,9|A,9|A,9|A,9|A,9|A,9|A,9|A,10|B,10|B,9|B
electricity,1,5,1|-,1|-,1|-,1|-,1|-,1|-,2|-,2|-,2|-,1|-,0|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-
electricity,6,10,3|-,3|-,3|-,3|-,2|-,2|-,4|A,4|A,4|A,2|-,1|-,2|-,2|-,2|-,2|-,2|-,2|-,3|-,3|-,3|-
electricity,11,15,5|A,5|A,5|A,5|A,4|A,4|A,7|A,7|A,7|A,4|A,3|-,4|A,4|A,4|A,4|A,4|A,5|A,5|A,5|A,5|A
electricity,16,20,8|B,8|B,8|B,8|B,7|A,7|A,10|B,10|B,10|B,7|A,6|A,7|A,7|A,7|A,7|A,7|A,8|B,8|B,8|B,8|B
electricity,21,25,11|B,11|B,11|B,11|B,10|B,10|B,13|C,13|C,13|C,10|B,9|A,10|B,10|B,10|B,10|B,10|B,11|B,11|B,11|B,11|B
electricity,26,1000,14|C,14|C,14|C,14|C,13|B,13|B,16|D,16|D,16|D,13|C,12|B,13|C,13|C,13|C,13|C,13|C,14|C,14|C,14|C,14|C
